"","full","mo","mo2","date","day","Class","event"
"1",2018-08-27,8,"Aug",27,"Mon","",NA
"2",2018-08-28,8,"Aug",28,"Tue","",NA
"3",2018-08-29,8,"Aug",29,"Wed","",NA
"4",2018-08-30,8,"Aug",30,"Thu","Class 1",NA
"5",2018-08-31,8,"Aug",31,"Fri","",NA
"6",2018-09-03,9,"Sep",3,"Mon","","Labor day"
"7",2018-09-04,9,"Sep",4,"Tue","",NA
"8",2018-09-05,9,"Sep",5,"Wed","",NA
"9",2018-09-06,9,"Sep",6,"Thu","Class 2",NA
"10",2018-09-07,9,"Sep",7,"Fri","",NA
"11",2018-09-10,9,"Sep",10,"Mon","",NA
"12",2018-09-11,9,"Sep",11,"Tue","",NA
"13",2018-09-12,9,"Sep",12,"Wed","",NA
"14",2018-09-13,9,"Sep",13,"Thu","Class 3",NA
"15",2018-09-14,9,"Sep",14,"Fri","",NA
"16",2018-09-17,9,"Sep",17,"Mon","",NA
"17",2018-09-18,9,"Sep",18,"Tue","",NA
"18",2018-09-19,9,"Sep",19,"Wed","",NA
"19",2018-09-20,9,"Sep",20,"Thu","Class 4",NA
"20",2018-09-21,9,"Sep",21,"Fri","",NA
"21",2018-09-24,9,"Sep",24,"Mon","",NA
"22",2018-09-25,9,"Sep",25,"Tue","",NA
"23",2018-09-26,9,"Sep",26,"Wed","",NA
"24",2018-09-27,9,"Sep",27,"Thu","Class 5",NA
"25",2018-09-28,9,"Sep",28,"Fri","",NA
"26",2018-10-01,10,"Oct",1,"Mon","",NA
"27",2018-10-02,10,"Oct",2,"Tue","",NA
"28",2018-10-03,10,"Oct",3,"Wed","",NA
"29",2018-10-04,10,"Oct",4,"Thu","Class 6",NA
"30",2018-10-05,10,"Oct",5,"Fri","",NA
"31",2018-10-08,10,"Oct",8,"Mon","",NA
"32",2018-10-09,10,"Oct",9,"Tue","",NA
"33",2018-10-10,10,"Oct",10,"Wed","",NA
"34",2018-10-11,10,"Oct",11,"Thu","Class 7",NA
"35",2018-10-12,10,"Oct",12,"Fri","",NA
"36",2018-10-15,10,"Oct",15,"Mon","","Fall break"
"37",2018-10-16,10,"Oct",16,"Tue","",NA
"38",2018-10-17,10,"Oct",17,"Wed","",NA
"39",2018-10-18,10,"Oct",18,"Thu","Class 8",NA
"40",2018-10-19,10,"Oct",19,"Fri","",NA
"41",2018-10-22,10,"Oct",22,"Mon","",NA
"42",2018-10-23,10,"Oct",23,"Tue","",NA
"43",2018-10-24,10,"Oct",24,"Wed","",NA
"44",2018-10-25,10,"Oct",25,"Thu","Class 9",NA
"45",2018-10-26,10,"Oct",26,"Fri","",NA
"46",2018-10-29,10,"Oct",29,"Mon","",NA
"47",2018-10-30,10,"Oct",30,"Tue","",NA
"48",2018-10-31,10,"Oct",31,"Wed","",NA
"49",2018-11-01,11,"Nov",1,"Thu","Class 10",NA
"50",2018-11-02,11,"Nov",2,"Fri","",NA
"51",2018-11-05,11,"Nov",5,"Mon","",NA
"52",2018-11-06,11,"Nov",6,"Tue","",NA
"53",2018-11-07,11,"Nov",7,"Wed","",NA
"54",2018-11-08,11,"Nov",8,"Thu","Class 11",NA
"55",2018-11-09,11,"Nov",9,"Fri","",NA
"56",2018-11-12,11,"Nov",12,"Mon","",NA
"57",2018-11-13,11,"Nov",13,"Tue","",NA
"58",2018-11-14,11,"Nov",14,"Wed","",NA
"59",2018-11-15,11,"Nov",15,"Thu","Class 12",NA
"60",2018-11-16,11,"Nov",16,"Fri","",NA
"61",2018-11-19,11,"Nov",19,"Mon","",NA
"62",2018-11-20,11,"Nov",20,"Tue","",NA
"63",2018-11-21,11,"Nov",21,"Wed","","Thanks giving"
"64",2018-11-22,11,"Nov",22,"Thu","Class 13","Thanks giving"
"65",2018-11-23,11,"Nov",23,"Fri","","Thanks giving"
"66",2018-11-26,11,"Nov",26,"Mon","",NA
"67",2018-11-27,11,"Nov",27,"Tue","",NA
"68",2018-11-28,11,"Nov",28,"Wed","",NA
"69",2018-11-29,11,"Nov",29,"Thu","Class 14",NA
"70",2018-11-30,11,"Nov",30,"Fri","",NA
"71",2018-12-03,12,"Dec",3,"Mon","",NA
"72",2018-12-04,12,"Dec",4,"Tue","",NA
"73",2018-12-05,12,"Dec",5,"Wed","",NA
"74",2018-12-06,12,"Dec",6,"Thu","Class 15",NA
"75",2018-12-07,12,"Dec",7,"Fri","","Last day of class"
"76",2018-12-10,12,"Dec",10,"Mon","","Finals begin"
"77",2018-12-11,12,"Dec",11,"Tue","",NA
"78",2018-12-12,12,"Dec",12,"Wed","",NA
"79",2018-12-13,12,"Dec",13,"Thu","Class 16",NA
"80",2018-12-14,12,"Dec",14,"Fri","",NA
"81",2018-12-17,12,"Dec",17,"Mon","",NA
"82",2018-12-18,12,"Dec",18,"Tue","","Grades due at midnight"
